Country,Year,Inflation,IntentionalHomicides,LifeExpectancy,Population,SuicideMortality,Unemployment,Fixed,Percent,Fixed Value,HDI
Afghanistan,1992,,,51.641,14485546,,11.46000004,0.389578439,0.779156878,60.70854405,0.316
Afghanistan,1990,,,50.331,12412308,,,0.320226568,0.654860057,42.88416943,0.302
Afghanistan,1991,,,50.999,13299017,,11.38000011,0.327368032,0.646972395,41.85732799,0.307
Afghanistan,1993,,,52.256,15816603,,11.60999966,0.324123273,0.645663891,41.68818601,0.312
Afghanistan,1994,,,52.842,17075727,,11.64999962,0.325711227,0.639904179,40.94773583,0.307
Afghanistan,1995,,,53.398,18110657,,11.64999962,0.28113549,0.611164109,37.35215681,0.331
Afghanistan,1996,,,53.924,18853437,,11.64999962,0.278846737,0.584584354,34.17388669,0.335
Afghanistan,1997,,,54.424,19357126,,11.64000034,0.268562197,0.568987705,32.37470084,0.339
Afghanistan,1998,,,54.906,19737765,,11.64000034,0,0,,0.344
Afghanistan,1999,,,55.376,20170844,,11.68999958,0,0,,0.348
Afghanistan,2002,,,56.784,22600770,5,11.68000031,0,0,,0.384
Afghanistan,2000,,,55.841,20779953,4.9,11.64999962,0,0,,0.35
Afghanistan,2001,,,56.308,21606988,5,11.63000011,0,0,,0.353
Afghanistan,2003,,,57.271,23680871,5,11.68000031,0,0,,0.393
Afghanistan,2013,7.385771784,,62.525,32269589,4,11.53999996,0,0,,0.496
Afghanistan,2014,4.673996035,,62.966,33370794,3.9,11.44999981,0,0,,0.5
Afghanistan,2004,,,57.772,24726684,5,11.60999966,0,0,,0.409
Afghanistan,2007,8.680570785,,59.375,27100536,4.8,11.18000031,0,0,,0.447
Afghanistan,2008,26.41866416,,59.93,27722276,4.6,11.10999966,0,0,,0.447
Afghanistan,2005,12.68626872,,58.29,25654277,5,11.52000046,0,0,,0.418
Afghanistan,2019,2.302372515,,64.833,38041754,4.1,10.97999954,0,0,,0.511
Afghanistan,2006,6.78459655,,58.826,26433049,4.9,11.34000015,0,0,,0.429
Albania,1990,,,71.836,3286542,,,0,0,,0.65
Albania,2019,1.41109079,,78.573,2854191,4.3,11.47000027,0,0,,0.795
Albania,1999,0.389437654,17.03653889,73.587,3108778,,16.62000084,0,0,,0.665
Albania,1991,,,71.803,3266790,,16.21999931,0,0,,0.631
Albania,1994,22.56505269,3.559490205,71.992,3207536,,16.5699997,0,0,,0.624
Albania,1995,7.793218538,8.320154402,72.205,3187784,,16.5699997,0,0,,0.637
Albania,1996,12.72547781,8.777877425,72.495,3168033,,16.5699997,0,0,,0.646
Albania,1997,33.18027438,43.03577034,72.838,3148281,,16.54999924,0,0,,0.645
Albania,1998,20.64285887,21.21709622,73.208,3128530,,16.54999924,0.41377938,0.586089774,34.35012232,0.655
Albania,1993,85.00475124,5.977724058,71.86,3227287,,16.52000046,0.395988519,0.584053863,34.11189149,0.618
Albania,1992,226.0054213,4.005068568,71.802,3247039,,16.32999992,0.396287694,0.579367973,33.56672481,0.615
Algeria,1999,2.645511134,,70.183,30623406,,28.37000084,0.390915719,0.541434514,29.3151333,0.629
Algeria,1994,29.04765612,,68.194,28213774,,27.73999977,0.368577937,0.533397883,28.45133016,0.59
Algeria,1997,5.733522754,,69.323,29742979,,25.43000031,0.379730264,0.532581016,28.36425386,0.611
Algeria,1998,4.950161638,,69.745,30192754,,26.82999992,0.347526239,0.517922859,26.82440879,0.621
Algeria,1992,31.66966191,,67.575,27028326,,24.37999916,0.383059262,0.514173507,26.43743953,0.582
Algeria,1993,20.54032612,,67.877,27635515,,26.22999954,0.389774626,0.510176212,26.02797673,0.586
Algeria,1995,29.77962649,,68.54,28757785,,31.84000015,0.345582945,0.496527219,0.246539279,0.595
Algeria,1996,18.67907586,,68.919,29266405,,28.55999947,0.356544605,0.489759073,0.23986395,0.602
